Movie,"Votes Received"
"The Shawshank Redemption",2343110
"The Dark Knight",2303232
Inception,2067042
"Fight Club",1854740
"Pulp Fiction",1826188
"Forrest Gump",1809221
"The Matrix",1676426
"The Lord of the Rings: The Fellowship of the Ring",1661481
"The Lord of the Rings: The Return of the King",1642758
"The Godfather",1620367
