Director,"No.of Movies"
"Christopher Nolan",4
"Peter Jackson",3
"Frank Darabont",2
"Francis Ford Coppola",2
"Charles Chaplin",2
"Steven Spielberg",2
"David Fincher",2
"Robert Zemeckis",2
"Sergio Leone",2
"Martin Scorsese",2
